honour_type,season_year,league_code,api_player_id,player_name,honour_context,source
player_of_season,2010,PL,758,Gareth Bale,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2011,PL,37162,Robin van Persie,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2012,PL,758,Gareth Bale,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2013,PL,157,Luis Suárez,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2014,PL,2296,Eden Hazard,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2015,PL,635,Riyad Mahrez,"PFA Players' Player of the Year , proxy award; PL POTS not created yet",wikipedia_ccc
player_of_season,2016,PL,2290,N'Golo Kanté,Premier League Player of the Season,wikipedia_ccc
player_of_season,2017,PL,306,Mohamed Salah,Premier League Player of the Season,wikipedia_ccc
player_of_season,2018,PL,290,Virgil van Dijk,Premier League Player of the Season,wikipedia_ccc
player_of_season,2019,PL,629,Kevin De Bruyne,Premier League Player of the Season,wikipedia_ccc
player_of_season,2020,PL,567,Rúben Dias,Premier League Player of the Season,wikipedia_ccc
player_of_season,2021,PL,629,Kevin De Bruyne,Premier League Player of the Season,wikipedia_ccc
player_of_season,2022,PL,1100,Erling Haaland,Premier League Player of the Season,wikipedia_ccc
player_of_season,2023,PL,631,Phil Foden,Premier League Player of the Season,wikipedia_ccc
player_of_season,2024,PL,306,Mohamed Salah,Premier League Player of the Season,wikipedia_ccc
player_of_season,2010,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2011,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2012,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2013,LL,874,Cristiano Ronaldo,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2014,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2015,LL,56,Antoine Griezmann,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2016,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2017,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2018,LL,154,Lionel Messi,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2019,LL,759,Karim Benzema,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2020,LL,29,Jan Oblak,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2021,LL,759,Karim Benzema,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2022,LL,127,Marc-André ter Stegen,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2023,LL,129718,Jude Bellingham,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2024,LL,1496,Raphinha,"LaLiga Best Player (LFP Awards) , Official La Liga/LFP Player of the Season award",wikipedia_ccc
player_of_season,2010,SA,51070,Zlatan Ibrahimović,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award; Guerin d'Oro was suspended this season",wikipedia_ccc
player_of_season,2011,SA,105405,Andrea Pirlo,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2012,SA,105405,Andrea Pirlo,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2013,SA,105405,Andrea Pirlo,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2014,SA,5982,Carlos Tevez,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2015,SA,853,Leonardo Bonucci,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2016,SA,254,Gianluigi Buffon,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2017,SA,216,Mauro Icardi,"AIC Serie A Footballer of the Year , Gran Galà del Calcio player-voted award",wikipedia_ccc
player_of_season,2018,SA,874,Cristiano Ronaldo,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2019,SA,875,Paulo Dybala,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2020,SA,907,Romelu Lukaku,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2021,SA,22236,Rafael Leão,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2022,SA,483,Khvicha Kvaratskhelia,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2023,SA,217,Lautaro Martínez,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2024,SA,903,Scott McTominay,"Serie A MVP , Official Lega Serie A Awards",wikipedia_ccc
player_of_season,2010,BL,497,Manuel Neuer,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2011,BL,25,Marco Reus,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2012,BL,50914,Bastian Schweinsteiger,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2013,BL,497,Manuel Neuer,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2014,BL,629,Kevin De Bruyne,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2015,BL,499,Jérôme Boateng,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2016,BL,90656,Philipp Lahm,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award",wikipedia_ccc
player_of_season,2018,BL,25,Marco Reus,"German Footballer of the Year (Fußballer des Jahres) , Proxy award (kicker/VDS); pre-dates official Bundesliga POTS award; Reus played for Borussia Dortmund",wikipedia_ccc
player_of_season,2019,BL,521,Robert Lewandowski,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2020,BL,1100,Erling Haaland,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2021,BL,269,Christopher Nkunku,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2022,BL,129718,Jude Bellingham,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2023,BL,203224,Florian Wirtz,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2024,BL,184,Harry Kane,"Bundesliga Player of the Season , Official Bundesliga Awards",wikipedia_ccc
player_of_season,2010,L1,2296,Eden Hazard,"UNFP Ligue 1 Player of the Year , Official UNFP award",wikipedia_ccc
player_of_season,2011,L1,2296,Eden Hazard,"UNFP Ligue 1 Player of the Year , Official UNFP award",wikipedia_ccc
player_of_season,2012,L1,51070,Zlatan Ibrahimović,"UNFP Ligue 1 Player of the Year , Official UNFP award",wikipedia_ccc
player_of_season,2013,L1,51070,Zlatan Ibrahimović,"UNFP Ligue 1 Player of the Year , Official UNFP award",wikipedia_ccc
player_of_season,2014,L1,1467,Alexandre Lacazette,"UNFP Ligue 1 Player of the Year , Official UNFP award",wikipedia_ccc
