api_player_id,card_id,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,verified_position,confidence,evidence
129718,137957,J. Bellingham,2324,Real Madrid,LL,CAM,MID,86,19,6,2324,1.94,CAM,high,Confirmed: advanced mid at the tip of Ancelotti's diamond (verified earlier this session)
129718,137184,J. Bellingham,2526,Real Madrid,LL,CM,MID,73,6,4,1917,1.74,CM,low,Confirms pool: advanced 8 under Xabi Alonso through the autumn; spring half beyond reliable coverage
129718,152030,J. Bellingham,2223,Borussia Dortmund,BL,CM,MID,74,8,4,2693,2.87,CM,high,Confirmed: Terzic's box-to-box 8 at Dortmund
745,140459,Isco,1718,Real Madrid,LL,CAM,MID,82,7,7,1781,2.93,CAM,high,Confirmed: 10 in Zidane's 4-4-2 diamond (verified earlier)
752,140567,T. Kroos,1718,Real Madrid,LL,CDM,MID,82,5,7,2268,0.95,CM,high,CORRECTION to pool (CDM): left 8 in the 4-3-3 - Casemiro anchored
752,141020,T. Kroos,1617,Real Madrid,LL,CM,MID,80,3,12,2501,1.01,CM,high,Confirmed: left 8 (Casemiro anchor)
752,139297,T. Kroos,2021,Real Madrid,LL,CM,MID,75,3,10,2121,0.68,CM,high,Confirmed: left 8
752,139718,T. Kroos,1920,Real Madrid,LL,CM,MID,72,4,5,2656,1.05,CM,high,Confirmed: left 8
517,141996,J. Rodríguez,1415,Real Madrid,LL,CAM,MID,81,13,NR,2290,NR,CAM,high,Confirmed: James (by ID) - Ancelotti's AM post-World Cup
517,153851,J. Rodríguez,1819,Bayern München,BL,CM,MID,74,7,3,1142,1.26,CAM,low,"1142 rotation min under Kovac split 10/8 - advanced plurality, close call"
291964,137029,A. Güler,2526,Real Madrid,LL,CM,MID,76,4,9,2026,1.2,CM,medium,Confirms pool: Alonso moved Guler into central midfield as a deep creator (autumn coverage); spring unverifiable
754,139766,L. Modrić,1920,Real Madrid,LL,CM,MID,74,3,7,1998,1.94,CM,high,Confirmed: right 8
754,140182,L. Modrić,1819,Real Madrid,LL,CM,MID,73,3,6,2618,1.86,CM,high,Confirmed: right 8
747,140598,Casemiro,1718,Real Madrid,LL,CDM,MID,74,5,3,2601,0.38,CDM,high,Confirmed: the anchor in the 4-3-3
747,139311,Casemiro,2021,Real Madrid,LL,CM,MID,72,6,4,2902,0.4,CDM,high,CORRECTION to pool (CM): still the sole anchor in 20/21
747,130520,Casemiro,2526,Manchester United,PL,CDM,MID,82,9,2,2593,0.21,CDM,medium,"Confirms pool: deep pivot under Amorim/Carrick; autumn-verified, spring beyond coverage"
747,131630,Casemiro,2223,Manchester United,PL,CDM,MID,71,4,3,2126,0.38,CDM,high,Confirmed: ten Hag's holding mid
756,137478,F. Valverde,2425,Real Madrid,LL,CDM,MID,71,6,4,3034,0.47,CM,medium,CORRECTION to pool (CDM): right 8 with emergency RB spells; Tchouameni held the anchor role
340626,137012,Fermín,2526,Barcelona,LL,CM,MID,80,6,9,1797,2.2,CAM,low,CORRECTION to pool (CM): left-AM/10 slot in Flick's 4-2-3-1 (competing with Olmo) - advanced plurality; autumn only
340626,137473,Fermín,2425,Barcelona,LL,CM,MID,71,6,4,1193,1.74,CAM,low,Same left-AM slot under Flick (1193 rotation min) - close with interior use
340626,137873,Fermín,2324,Barcelona,LL,CM,MID,70,8,0,1451,1.3,CM,low,Confirms pool: broke in as Xavi's interior 8
12719,140677,Paulinho,1718,Barcelona,LL,CM,MID,80,9,2,1940,1.16,CM,high,Confirmed: Valverde's box-crashing 8
149,141018,I. Rakitić,1617,Barcelona,LL,CM,MID,80,8,5,2345,0.88,CM,high,Confirmed: right 8 (Busquets anchor)
149,140134,I. Rakitić,1819,Barcelona,LL,CM,MID,70,3,5,2643,0.65,CM,high,Confirmed: right 8
108,142772,Cesc Fàbregas,1213,Barcelona,LL,CM,MID,78,11,NR,2321,NR,CM,medium,Confirms pool: Tito's interior with some false-9 spells
108,134065,Cesc Fàbregas,1617,Chelsea,PL,CDM,MID,85,5,12,1328,0.81,CDM,medium,Confirms pool: deep playmaker in Conte's central two (with Kante/Matic) - CDM/CM boundary
151,139731,A. Vidal,1920,Barcelona,LL,CM,MID,77,8,2,1662,0.43,CM,medium,Confirmed: box-to-box 8
151,140150,A. Vidal,1819,Barcelona,LL,CM,MID,76,3,7,1928,0.23,CM,medium,Confirmed: 8
151,154165,A. Vidal,1718,Bayern München,BL,CM,MID,70,6,2,1459,0.56,CM,medium,Confirmed: Heynckes's 8
633,138059,İ. Gündoğan,2324,Barcelona,LL,CM,MID,75,5,9,2997,1.02,CM,medium,Confirms pool: Xavi's 8 (some advanced use)
633,132742,İ. Gündoğan,2021,Manchester City,PL,CM,MID,85,13,2,2034,1.19,CM,high,"Confirms pool: the advanced left 8 of the title side - his 13-goal season came arriving from CM, not as a 10"
633,131925,İ. Gündoğan,2223,Manchester City,PL,CM,MID,80,8,4,2377,0.61,CAM,medium,CORRECTION to pool (CM): the other of the dual 10s beside De Bruyne in the treble season's 3-2-4-1 (Rodri+Stones the pivot)
633,132342,İ. Gündoğan,2122,Manchester City,PL,CM,MID,80,8,4,1859,1.16,CM,medium,Confirms pool: advanced 8 rotating with Bernardo (Rodri anchor)
633,133554,İ. Gündoğan,1819,Manchester City,PL,CM,MID,75,6,3,2141,0.8,CM,medium,Confirms pool: 8 plus holding cover during Fernandinho's absences
133609,136994,Pedri,2526,Barcelona,LL,CDM,MID,74,2,9,2107,1.58,CDM,low,Confirms pool: double pivot with de Jong in Flick's 4-2-3-1 (autumn coverage) - CDM/CM boundary; spring unverifiable
1323,137539,Dani Olmo,2425,Barcelona,LL,CM,MID,74,9,3,1194,1.73,CAM,medium,CORRECTION to pool (CM): Flick's 10 amid the registration saga (1194 min)
142,140972,Rafinha,1617,Barcelona,LL,CM,MID,72,6,2,1078,1,Winger,low,"1078 rotation min: RW cover for the MSN front plus interior spells - near split, wide plurality"
