card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
131664,18973,S. March,2223,CM,Winger,high,"CORRECTION: De Zerbi's RW (7G/7A) — pool's CM is plainly wrong"
154948,25352,Salomon Armand Magloire Kalou,1516,,Winger,low,"ASSIGNED (blank pool): wide-left forward with CF share at Hertha (14 goals) — same split profile as his 1617 card, wide plurality"
131062,186,Son Heung-Min,2425,Winger,Winger,high,"CONFIRM: LW/captain (Solanke at 9)"
131876,186,Son Heung-Min,2223,ST,Winger,high,"CORRECTION: LW — Kane occupied the 9 all season; pool's ST belongs to 2122's striker-ish false-9 phase, not this season"
148266,1650,Suso,1617,Winger,Winger,high,"CONFIRM: Montella's RW and chief creator"
184291,2664,Trézéguet,1718,CM,Winger,medium,"CORRECTION: Kasımpaşa's wide forward (13 goals from the flank) — pool's CM is plainly wrong"
148030,30559,V. Birsa,1617,CDM,CAM,medium,"CORRECTION: Maran's trequartista behind Inglese/Meggiorini at Chievo — pool's CDM is plainly wrong"
146115,2780,V. Osimhen,2122,ST,ST,high,"CONFIRM: Napoli's 9"
133140,2294,Willian,1920,ST,Winger,high,"CORRECTION: Lampard's RW — pool's ST is plainly wrong"
138066,47422,Y. En-Nesyri,2324,ST,ST,high,"CONFIRM: Sevilla's 9; 16 goals"
131262,20649,Y. Wissa,2324,ST,ST,medium,"CONFIRM: Brentford's 9, especially during Toney's ban — clearer CF season than his flagged 2021 Lorient card"
133265,18927,A. Barnes,1819,Winger,ST,high,"CORRECTION: Dyche's front-two 9 beside Wood (12 goals) — pool's Winger is plainly wrong"
148360,30509,A. Belotti,1516,,ST,medium,"ASSIGNED (blank pool): Ventura's front-two 9 (12 goals) — consistent with his 2021 card"
148526,202,A. Candreva,1516,Winger,Winger,high,"CONFIRM: Pioli's RW/RM at Lazio"
148046,1629,A. Conti,1617,CDM,FB,high,"CORRECTION: right wing-back in Gasperini's back three — his 8 goals came bombing from RWB; pool's CDM is plainly wrong"
147036,1274,A. Cornelius,1920,ST,ST,medium,"CONFIRM: Parma's 9 (1495 min); 12 goals"
138748,53,Á. Correa,2122,ST,ST,medium,"CONFIRM: front two in Simeone's 3-5-2/4-4-2 — a genuinely more central season than his 1617-1819 RM-hybrid cards"
160304,266,Á. Di María,1718,ST,Winger,high,"CORRECTION: wide in Emery's 4-3-3, rotating flanks around Neymar/Mbappé — pool's ST is plainly wrong"
130843,157997,A. Diallo,2425,ST,Winger,low,"CORRECTION with flag: RW under ten Hag, then mostly the right of the two 10s under Amorim — wide-right plurality across shapes, genuine multi-role season; pool's ST is wrong"
175773,45017,A. Dreyer,2324,Winger,Winger,medium,"CONFIRM: Anderlecht's right-sided attacker; 19 goals (blank assists = missing)"
158444,85041,A. Gouiri,2122,ST,Winger,low,"CORRECTION narrowly: left-forward/SS beside Delort after the striker's October arrival — genuine split, wide-left plurality"
158898,85041,A. Gouiri,2021,Winger,ST,low,"CORRECTION narrowly: Nice's young 9 for much of 20/21 with LW spells (12 goals) — genuine split, CF plurality; note the two Gouiri cards effectively swap the pool labels"
182248,49891,A. Nwakaeme,2122,Winger,Winger,medium,"CONFIRM: Trabzonspor's LW in the title season (13G/10A)"
