card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
160338,1912,D. Payet,1718,Winger,CAM,medium,"CORRECTION: OM's captain-10 in Garcia's 4-2-3-1 (Thauvin/Ocampos wide; 13 assists) — pool's Winger is wrong"
130875,1469,D. Welbeck,2425,ST,ST,medium,"CONFIRM: Brighton's 9 under Hürzeler"
147504,2495,D. Zapata,1718,ST,ST,high,"CONFIRM: Sampdoria front two with Quagliarella"
141376,928,Dani Parejo,1516,CM,CM,medium,"CONFIRM: Valencia's deep-central playmaker under Neville — the full pivot conversion is his 1718 card"
148291,793,Diego Perotti,1617,ST,Winger,medium,"CORRECTION: Spalletti's wide-left man and penalty taker — pool's ST is wrong"
147764,865,Douglas Costa,1718,Winger,Winger,high,"CONFIRM: Allegri's flying wide man (12 assists)"
148123,2050,É. Banega,1617,CDM,CAM,low,"CORRECTION: 10/8 rotation under De Boer/Pioli — advanced plurality; identical verdict to this same card_id in the earlier bigclub delivery"
132739,274,E. Cavani,2021,ST,ST,high,"CONFIRM: United's 9 (1368 min, heavy sub use)"
187417,46930,E. Demirović,2425,ST,ST,medium,"CONFIRM: Stuttgart front two with Undav"
147410,790,E. Džeko,1819,ST,ST,high,"CONFIRM: Roma's 9"
157262,203762,E. Emegha,2425,ST,ST,high,"CONFIRM: Strasbourg's 9; 14 goals"
154291,25319,F. Bartels,1617,ST,Winger,low,"CORRECTION: wide-right forward in Bremen's shapes under Nouri — wide plurality, SS share"
146293,31060,F. Caputo,2021,ST,ST,high,"CONFIRM: De Zerbi's 9"
153883,1821,F. Kostić,1819,Winger,FB,medium,"CORRECTION: left wing-back in Hütter's 3-4-1-2 behind the Jović–Haller–Rebić front — wing-back maps FB, same treatment as Caligiuri/Clauss/Conti cards"
147989,30463,F. Quagliarella,1617,ST,ST,high,"CONFIRM: Sampdoria's veteran 9"
166624,33108,Fabrício,1718,Winger,ST,low,"CORRECTION narrowly: Portimonense's central striker (15 goals) with Nakajima wide-left behind — CF plurality, thin per-season split data"
172321,2187,Fran Sol,1718,ST,ST,medium,"CONFIRM: Willem II's 9; 16 goals"
159142,47545,G. Kakuta,2021,ST,CAM,high,"CORRECTION: the 10 of Haise's 3-4-1-2 in Lens's promotion-return season — pool's ST is wrong"
169868,36905,G. Til,2425,CM,CM,low,"CONFIRM narrowly: advanced left 8 in Bosz's 4-3-3 (Veerman deep, Saibari right) — box-crashing 10 goals, central plurality; consistent with the Saibari 2425 card"
177764,8628,H. Harbaoui,1819,ST,ST,medium,"CONFIRM: Zulte's veteran 9; 18 goals (blank assists = missing)"
133507,1457,H. Mkhitaryan,1819,CDM,Winger,low,"CORRECTION: RW/AM rotation under Emery — wide plurality; identical verdict to this same card_id in the earlier bigclub delivery"
131925,633,İ. Gündoğan,2223,CM,CAM,medium,"CORRECTION: the other dual 10 beside De Bruyne in the treble 3-2-4-1 — identical verdict to this same card_id in the earlier bigclub delivery"
137438,745,Isco,2425,CM,CAM,medium,"CORRECTION: Pellegrini's 10 at Betis around injury (1551 min) — pool's CM is wrong"
151936,152654,J. Frimpong,2324,Winger,FB,high,"CORRECTION: right wing-back in Alonso's 3-4-2-1 unbeaten season — wing-back maps FB"
132826,19187,J. Grealish,1920,ST,Winger,medium,"CORRECTION: Smith's left-sided creator/LW, captaining from wide (3234 min) — pool's ST is plainly wrong"
132479,19128,J. Harrison,2021,Winger,Winger,high,"CONFIRM: Bielsa's LW"
152486,25635,J. Hofmann,2122,ST,Winger,low,"CORRECTION narrowly: right-sided attacker/SS under Hütter — wide plurality; consistent with his 2223 RW card"
176563,1942,J. Ito,2122,Winger,Winger,high,"CONFIRM: Genk's RW; 16 assists"
153622,502,J. Kimmich,1819,FB,FB,high,"CONFIRM — your flag resolves the other way here: RB all season under Kovač (13 assists); the No.6 conversion is his 1920+ cards"
133588,18881,J. King,1819,ST,ST,medium,"CONFIRM: front two/SS beside Wilson; 12 goals"
131652,19192,J. Ramsey,2223,CM,CM,low,"CONFIRM narrowly: advanced left 8 under Gerrard, left-mid in Emery's 4-4-2 from Nov — genuine CM/Winger split, central plurality slight"
141118,517,J. Rodríguez,1617,CAM,CAM,low,"CONFIRM: James (by ID) — 1179 rotation min at AM/right; identical verdict to earlier passes"
140114,47408,J. Silva,1819,CB,FB,medium,"CORRECTION: Jonathan Silva (by ID) — Leganés's left-back/wing-back in Pellegrino's 5-3-2 (6 assists); pool's CB is wrong"
151564,15592,J. Stage,2425,CM,CM,medium,"CONFIRM: Bremen's box-to-box 8; 10 goals"
134061,18878,J. Stanislas,1617,CM,Winger,medium,"CORRECTION: Bournemouth's wide man (R/L) — pool's CM is wrong"
140516,1579,Joaquín,1718,CDM,Winger,high,"CORRECTION — your flag was right: the veteran RW under Setién; pool's CDM is plainly wrong"
140892,12667,Jonathan Viera,1617,CM,CAM,high,"CORRECTION: Las Palmas's playmaker-10 under Setién — consistent with his 1516 card; pool's CM is wrong"
140066,128,Jordi Alba,1819,CB,FB,high,"CORRECTION — your flag was right: Barcelona's left-back (8 assists); pool's CB is plainly wrong"
138452,18907,Joselu,2223,ST,ST,high,"CONFIRM: Espanyol's 9; 16 goals"
138902,18907,Joselu,2122,Winger,ST,high,"CORRECTION: Alavés's 9 (14 goals as the central striker) — pool's Winger is plainly wrong"
154879,551,K. Huntelaar,1516,,ST,high,"ASSIGNED (blank pool): Schalke's 9"
159832,22247,K. Lala,1819,CB,FB,high,"CORRECTION — your flag was right: Strasbourg's right-back/wing-back (9 assists, some pens); pool's CB is plainly wrong"
131670,106835,K. Mitoma,2223,CM,Winger,high,"CORRECTION: De Zerbi's LW in his breakout PL season — pool's CM is plainly wrong"
151716,25461,K. Stöger,2324,CM,CM,low,"CONFIRM narrowly: Bochum's deep playmaker/10 hybrid and set-piece taker (11 assists) — central plurality"
158503,1709,K. Toko Ekambi,2122,Winger,Winger,high,"CONFIRM: Lyon's LW (consistent with his 2021 card)"
