card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
171276,8509,R. Vloet,2021,CM,CAM,medium,"CORRECTION: Heracles's 10; 16 goals — pool's CM is wrong"
164424,573,Rafa,2324,Winger,Winger,high,"CONFIRM: Benfica's wide man under Schmidt (consistent with his 1819 card)"
164163,135333,Rafa Mujica,2324,ST,ST,medium,"CONFIRM: Arouca's 9; 20 goals"
144878,22236,Rafael Leão,2324,Winger,Winger,high,"CONFIRM: Milan's LW"
152012,8,Raphaël Guerreiro,2223,FB,FB,medium,"CONFIRM: Terzić's LB with genuine midfield spells — FB plurality"
165056,41103,Ricardo Horta,2122,ST,Winger,medium,"CORRECTION: left forward in Carvalhal's 4-2-3-1 — his 19 goals came cutting in from the left (consistent with his 1920 card); pool's ST is wrong"
131987,2413,Richarlison,2122,ST,ST,medium,"CONFIRM: led the line through Calvert-Lewin's injuries, LW share — completes his season-by-season LW/CF arc across four cards"
132685,302,Roberto Firmino,2021,Winger,ST,high,"CORRECTION: the false 9 of Klopp's front three — identical logic to his 1920 card; pool's Winger is wrong"
172176,37162,Robin van Persie,1819,Winger,ST,high,"CORRECTION: Feyenoord's veteran 9 in his farewell season (16 goals) — pool's Winger is plainly wrong"
185057,37162,Robin van Persie,1516,ST,ST,medium,"CONFIRM: Fenerbahçe's 9 (16 goals)"
139067,47471,Roger,2021,ST,ST,medium,"CONFIRM: Roger Martí, Levante's 9 (consistent with his 1819 card)"
181347,326102,Rômulo,2425,ST,ST,medium,"CONFIRM: Göztepe's 9 — the 13G/9A breakout season"
171763,37160,S. Berghuis,1920,ST,Winger,high,"CORRECTION: Feyenoord's RW and penalty taker (15 goals from the right) — consistent with his 1819 card; the central conversion is his 2122 Ajax card; pool's ST is wrong"
172098,36987,S. Lammers,1819,Winger,ST,medium,"CORRECTION: Heerenveen's loan 9 (16 goals as the central striker) — pool's Winger is wrong"
134469,18956,S. Long,1516,,ST,medium,"ASSIGNED (blank pool): Koeman's CF/front two; 10 goals"
166819,2603,S. Nakajima,1718,ST,Winger,medium,"CORRECTION: Portimonense's left-sided attacker/creator (10G/10A from the left) — pairs with the Fabrício-as-9 card; pool's ST is wrong"
170135,37784,S. Steijn,2324,CM,CAM,medium,"CORRECTION: Twente's goal-scoring 10 (17 goals arriving into the box) — pool's CM is wrong"
163759,358628,Samu,2425,ST,ST,high,"CONFIRM: Porto's 9; 19 goals"
172017,37180,Simon Gustafson,1819,CM,CM,low,"CONFIRM narrowly: Utrecht's central playmaker and penalty taker with 10 spells — central plurality"
131857,283,T. Alexander-Arnold,2223,FB,FB,high,"CONFIRM: RB (the inverted hybrid arrives only in the spring games)"
170053,39100,T. Lauritsen,2324,ST,ST,medium,"CONFIRM: Sparta's target 9; 13G/9A"
160594,45,T. Lemar,1617,Winger,Winger,high,"CONFIRM: LW in Jardim's title 4-4-2 (9G/10A)"
158065,21443,T. Savanier,2223,CM,CAM,medium,"CORRECTION: Montpellier's captain-playmaker at the 10 (penalties included) — pool's CM understates the advanced role"
176155,8966,T. Teuma,2223,CM,CM,medium,"CONFIRM: USG's captain — advanced central mid in the 3-5-2 (10G/12A from midfield)"
166292,390,Tiquinho Soares,1819,Winger,ST,high,"CORRECTION: Porto's 9/front two with Marega (15 goals) — pool's Winger is plainly wrong"
166802,386,V. Aboubakar,1718,ST,ST,high,"CONFIRM: Porto's 9; 15 goals"
161072,1918,V. Germain,1516,,ST,medium,"ASSIGNED (blank pool): Nice's 9 (14 goals) with Ben Arfa roaming behind — pairs with the Ben Arfa 1516 CAM card"
152863,26248,V. Grifo,2021,CM,Winger,high,"CORRECTION: Freiburg's LW/LM and set-piece taker (10 assists) — consistent with his 1617/2425 cards; pool's CM is wrong"
176397,183,V. Janssen,2223,ST,ST,high,"CONFIRM: Antwerp's 9; 18 goals"
138514,50048,V. Muriqi,2223,ST,ST,high,"CONFIRM: Mallorca's target 9"
183456,50048,V. Muriqi,1920,ST,ST,medium,"CONFIRM: Fener's 9; 15 goals"
159531,2780,V. Osimhen,1920,ST,ST,high,"CONFIRM: Lille's 9 (consistent with his 2122 card)"
171000,36798,V. Pavlidis,2122,ST,ST,high,"CONFIRM: AZ's 9; 18 goals (consistent with his 2425 card)"
184603,42309,Wesley Sneijder,1617,CDM,CAM,high,"CORRECTION — your flag was right: Galatasaray's veteran 10 (15 assists); pool's CDM is plainly wrong"
151584,162016,X. Simons,2425,ST,CAM,medium,"CORRECTION: Leipzig's 10 in Rose's 4-2-2-2/4-2-3-1 — consistent with his 2324 card; pool's ST is wrong"
139228,2923,Y. Carrasco,2021,Winger,Winger,low,"CONFIRM narrowly: LW/left-wing-back split in Simeone's title 3-5-2 — same boundary as his 2122 card, wide-left plurality"
147470,31032,Y. Gervinho,1819,ST,Winger,high,"CORRECTION: D'Aversa's counter-attacking LW (Inglese the 9) — pool's ST is wrong"
146946,51070,Z. Ibrahimović,1920,ST,ST,high,"CONFIRM: Milan's 9 from the January return (1365 min)"
