card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
157433,147831,A. Kalimuendo,2425,ST,ST,high,"CONFIRM: Rennes's first-choice 9; 17 league goals as the central striker"
147617,330,José Callejón,1718,ST,Winger,high,"CORRECTION: the fixed RW of Sarri's 4-3-3 (Mertens the false 9, Insigne left) — pool's ST is wrong"
160595,278,Kylian Mbappé,1617,ST,ST,high,"CONFIRM: breakout as the second half of Jardim's 4-4-2 front two beside Falcao — striker, not wide"
134299,302,Roberto Firmino,1617,ST,ST,high,"CONFIRM: Klopp's false 9 (Mané/Coutinho wide)"
133894,304,S. Mané,1718,Winger,Winger,high,"CONFIRM: LW of the Firmino–Salah–Mané front three"
134710,304,S. Mané,1516,,Winger,medium,"ASSIGNED (blank pool): wide roles in Koeman's 4-2-3-1 (mostly right) with occasional CF use — wide plurality"
154110,522,T. Müller,1718,CAM,CAM,low,"CONFIRM narrowly: rotated 10 (when James rested) and RW (when Robben out) under Heynckes — genuine CAM/Winger split; consistent with earlier passes"
182287,21447,U. Bozok,2122,ST,ST,medium,"CONFIRM: Kasımpaşa's out-and-out 9; 19-goal Süper Lig season"
133931,307,X. Shaqiri,1718,Winger,Winger,high,"CONFIRM: Stoke's RW and sole creative outlet (3049 min)"
181319,47422,Y. En-Nesyri,2425,ST,ST,high,"CONFIRM: Mourinho's CF at Fener; 20 goals"
146198,30509,A. Belotti,2021,ST,ST,high,"CONFIRM: Torino's captain-9"
145003,2799,A. Guðmundsson,2324,ST,CAM,medium,"CORRECTION: the withdrawn forward/SS behind Retegui in Gilardino's 3-5-2 at Genoa — second striker maps to CAM per protocol"
172018,37268,Adrián Dalmau,1819,Winger,ST,medium,"CORRECTION: out-and-out CF ('spits' in Dutch records); his 19 goals came as Heracles's 9 — pool's Winger is wrong"
167145,2063,André Silva,1617,ST,ST,high,"CONFIRM: Nuno's CF at Porto; 16 goals"
131255,10135,Bruno Guimarães,2324,CM,CM,medium,"CONFIRM: Howe's left 8 with substantial time at the 6 during Tonali's ban — central throughout, 6/8 split within CM"
148174,1706,C. Bacca,1617,Winger,ST,high,"CORRECTION: pure penalty-box 9 at Milan (13 goals) — pool's Winger is plainly wrong"
