card_id,api_player_id,player_name,season,current_pool,verified_position,confidence,evidence
140306,47283,Ibai Gómez,1718,CM,Winger,medium,"CORRECTION: Alavés's LW — pool's CM is plainly wrong"
158617,25008,J. Clauss,2122,CDM,FB,high,"CORRECTION: right wing-back in Haise's 3-4-3 at Lens (11 assists from the flank) — pool's CDM is plainly wrong"
133661,900,J. Lingard,1718,CAM,CAM,low,"CONFIRM narrowly: rotated 10/RW/RM under Mourinho, the December purple patch coming centrally — advanced plurality; same flag as earlier passes"
132398,18784,J. Maddison,2021,ST,CAM,high,"CORRECTION: Rodgers's attacking mid — pool's ST is plainly wrong"
133212,18784,J. Maddison,1819,CM,CAM,high,"CORRECTION: Puel's 10 in the 4-2-3-1 in his debut PL season — pool's CM is wrong"
153817,25927,J. Mateta,1819,ST,ST,high,"CONFIRM: Mainz's 9; 14 goals"
141576,517,J. Rodríguez,1516,CAM,CAM,low,"CONFIRM narrowly: James (by ID) — right AM/RW under Benítez, rotation under Zidane; advanced plurality, split flagged in earlier passes"
131358,2938,J. Ward-Prowse,2324,CM,CM,medium,"CONFIRM: deeper central mid in Moyes's West Ham midfield"
131734,2938,J. Ward-Prowse,2223,CM,CM,high,"CONFIRM: Southampton's ever-present captain-CM (3373 min)"
132536,2778,K. Ịheanachọ,2021,ST,ST,medium,"CONFIRM: front two/SS beside Vardy — the 12-goal spring came up front"
158616,22264,L. Ajorque,2122,ST,ST,high,"CONFIRM: Strasbourg's target 9 in the 3-5-2 front"
169910,246,L. de Jong,2425,ST,ST,high,"CONFIRM: PSV's 9"
185070,33255,Ł. Podolski,1516,Winger,Winger,low,"CONFIRM narrowly: LW in the autumn (Burak/Umut central), more CF after Burak's January exit — genuine split, wide plurality slight; mirrors his flagged 1617 card"
140568,757,Lucas Vázquez,1718,FB,Winger,medium,"CORRECTION: Zidane's RW rotation option — the RB conversion came around 2020, not this season; pool's FB is anachronistic"
178488,30817,Łukasz Teodorczyk,1617,ST,ST,high,"CONFIRM: Anderlecht's 9; 22 goals (blank assists = missing)"
132630,18819,M. Antonio,2021,ST,ST,high,"CONFIRM: Moyes's converted lone 9"
182646,1917,M. Balotelli,2122,Winger,ST,medium,"CORRECTION: Adana's 9; 18 goals — pool's Winger is plainly wrong"
131331,18746,M. Gibbs-White,2324,CM,CAM,medium,"CORRECTION: the 10 under Cooper then Nuno (10 assists) — consistent with his 2425 card; pool's CM is wrong"
154635,26314,M. Gómez,1617,ST,ST,high,"CONFIRM: Wolfsburg's 9; 16 goals"
159928,3244,M. Gradel,1819,CM,Winger,medium,"CORRECTION: Toulouse's wide man and talisman (11 goals) — consistent with his 1718 card; pool's CM is wrong"
147330,878,M. Mandžukić,1819,ST,ST,medium,"CONFIRM: Allegri's 9 with Ronaldo off the left"
152289,21509,M. Thuram,2223,ST,ST,high,"CONFIRM: Farke's 9; 13 goals — a genuine season change from his 2021 LW card"
171976,36982,M. Vlap,1819,CM,CAM,medium,"CORRECTION: Heerenveen's 10; 16 goals (penalty-heavy) — pool's CM is wrong"
145389,30937,M. Zaccagni,2223,Winger,Winger,high,"CONFIRM: Sarri's LW; 10 goals"
130814,283058,N. Jackson,2425,ST,ST,high,"CONFIRM: Maresca's 9"
177041,544,N. Lang,2021,Winger,Winger,high,"CONFIRM: Brugge's LW; 16 goals cutting in"
153916,26258,N. Petersen,1718,Winger,ST,high,"CORRECTION: Freiburg's 9 (starter/super-sub; 15 goals) — pool's Winger is plainly wrong"
137429,128398,Oihan Sancet,2425,CM,CAM,medium,"CORRECTION: Valverde's 10 (15 goals, penalty-heavy) — pool's CM is wrong"
147704,30433,P. Gómez,1718,ST,CAM,medium,"CORRECTION: left of the dual 10s in Gasperini's 3-4-2-1 (10 assists) — pool's ST is wrong; same mapping as other Gasperini dual-10 cards"
140655,1697,Pablo Fornals,1718,CM,CM,medium,"CONFIRM: interior in Villarreal's 4-4-2 — his 12-assist breakout came centrally"
140668,147,Philippe Coutinho,1718,CAM,Winger,medium,"CORRECTION: mostly LW with interior spells in the Jan-May Barcelona half-season — identical verdict to this player-season in earlier passes; pool's CAM is wrong"
140447,47520,Portu,1718,Winger,Winger,medium,"CONFIRM: right-sided attacker in Machín's 3-5-2 — wide plurality"
151264,2598,R. Dōan,2425,CM,Winger,high,"CORRECTION: Freiburg's RW (10G/7A) — consistent with his 2122 PSV card; pool's CM is plainly wrong"
159983,119,R. Falcao,1819,Winger,ST,high,"CORRECTION: Monaco's captain-9; 15 goals — pool's Winger is plainly wrong"
130921,2887,R. Jiménez,2425,ST,ST,high,"CONFIRM: Fulham's 9"
132686,635,R. Mahrez,2021,Winger,Winger,high,"CONFIRM: Pep's RW"
140964,30483,R. Soriano,1617,CM,CM,low,"CONFIRM narrowly: 8/10 rotation at Villarreal — central plurality"
171047,48390,R. van Wolfswinkel,2122,ST,ST,medium,"CONFIRM: Twente's veteran 9; 16 goals"
166405,573,Rafa,1819,Winger,Winger,high,"CONFIRM: wide man in Lage's 4-4-2 (16 goals) — the wide slots were Rafa and Pizzi, consistent with the Pizzi cards"
133084,302,Roberto Firmino,1920,Winger,ST,high,"CORRECTION: the false 9 of Klopp's title front three — pool's Winger is wrong; consistent with his 1617/2223 cards"
140746,47012,Rubén Castro,1617,ST,ST,high,"CONFIRM: Betis's veteran 9"
172764,30632,S. Armenteros,1617,Winger,ST,medium,"CORRECTION: Heracles's out-and-out 9 (19 goals) per Dutch records — pool's Winger is wrong"
164447,20674,S. Banza,2324,ST,ST,high,"CONFIRM: Braga's 9; 21 goals"
172135,37160,S. Berghuis,1819,ST,Winger,high,"CORRECTION: Feyenoord's fixed RW (12G/12A) — pool's ST is plainly wrong; the central conversion came at Ajax in 2122"
147054,791,S. El Shaarawy,1819,ST,Winger,medium,"CORRECTION: Di Francesco's LW at Roma — pool's ST is wrong"
